t,S,I,R
9.112687992794289,624,180,196
9.112962320081973,623,181,196
9.115377171887559,623,180,197
9.116807067368123,623,179,198
9.117446552505061,623,178,199
9.125190834297332,622,179,199
9.13671658888846,622,178,200
9.146130574845646,621,179,200
9.164178176671003,621,178,201
9.166420653364243,620,179,201
9.174267990744479,619,180,201
9.174655602751313,618,181,201
9.175089316715239,618,180,202
9.182403123462601,618,179,203
9.193746674240074,618,178,204
9.196625536439516,617,179,204
9.201331107688631,616,180,204
9.201795407143537,615,181,204
9.217338975468317,614,182,204
9.229224745468828,613,183,204
9.235078025159913,613,182,205
9.24717891730582,612,183,205
9.247279754406241,611,184,205
9.249082027588518,611,183,206
9.254581798993705,611,182,207
9.255715276345734,610,183,207
9.25845440953496,610,182,208
9.260786302288297,609,183,208
9.261627369821362,608,184,208
9.273200514166113,607,185,208
9.27358669439401,607,184,209
9.277284556793965,607,183,210
9.289444010398372,606,184,210
9.290404372476006,605,185,210
9.297926095600172,604,186,210
9.30931830397931,603,187,210
9.33505980163304,602,188,210
9.337783781435483,601,189,210
9.338937421375705,601,188,211
9.341808247673786,600,189,211
9.345657071940673,599,190,211
9.348284388763231,598,191,211
9.360481112510719,598,190,212
9.367717983637686,597,191,212
9.368914246163962,596,192,212
9.379595282254568,595,193,212
9.382582670482972,594,194,212
9.390831325532892,593,195,212
9.392413346516282,593,194,213
9.395579923481344,592,195,213
9.396809688572228,591,196,213
9.400264645981235,591,195,214
9.406649505666572,591,194,215
9.412189048244443,590,195,215
9.41324576900836,590,194,216
9.415623999115578,590,193,217
9.417246946781752,589,194,217
9.418215470080968,589,193,218
9.420234012530836,588,194,218
9.423693914007073,587,195,218
9.426270499751883,587,194,219
9.42884366972958,587,193,220
9.433858403847761,587,192,221
9.437645142247879,586,193,221
9.445363495957128,585,194,221
9.451749430780088,585,193,222
9.45670473219976,584,194,222
9.464784833208109,583,195,222
9.486032993733476,582,196,222
9.535520613186906,581,197,222
9.537267091952197,581,196,223
9.538656582774196,580,197,223
9.540408513753002,580,196,224
9.54078374514528,580,195,225
9.54674377739838,579,196,225
9.554154065338375,578,197,225
9.555470942623085,577,198,225
9.555797168106839,576,199,225
9.561779418115275,575,200,225
9.575088201629514,574,201,225
9.578787651976926,574,200,226
9.581964410536285,573,201,226
9.590798171335145,573,200,227
9.593476156430969,573,199,228
9.596013127623564,573,198,229
9.600129868612214,573,197,230
9.6103911806265,572,198,230
9.626121681527064,571,199,230
9.633439585200374,570,200,230
